date,10m_u_component_of_wind_min,10m_u_component_of_wind_mean,10m_u_component_of_wind_max,10m_v_component_of_wind_min,10m_v_component_of_wind_mean,10m_v_component_of_wind_max,2m_temperature_min,2m_temperature_mean,2m_temperature_max,2m_dewpoint_temperature_min,2m_dewpoint_temperature_mean,2m_dewpoint_temperature_max,surface_solar_radiation_downwards_min,surface_solar_radiation_downwards_mean,surface_solar_radiation_downwards_max,total_cloud_cover_min,total_cloud_cover_mean,total_cloud_cover_max,utci_min,utci_mean,utci_max,states,region,max.demand met during the day(mw),shortage during maximum demand(mw),energy met (mu),source,generation_mu,state_share,month,day_of_week,is_weekend,season,energymet_7d_avg,generation_7d_avg,monthly_generation_avg,monthly_energy_avg,dayofweek,weekend,monthly_rolling_mean,demand_rolling,gen_rolling,year,holiday_name,major_holiday,extreme_heat
2013-03-31,-0.5504976,0.18265139,1.3335744,-1.1323125,-0.37570047,0.85216403,275.42502,282.94397,289.4496,272.46307,275.71646,278.30035,0.25,1007776.3,3309871.0,0.023326056,0.23148091,0.6228737,277.87698,286.9208984375,301.8435,Uttarakhand,nr,1415,0.0,27.3,Total,675.0,0.8272058823529411,3,6,True,Summer,27.3,675.0,193.02941176470588,74.29705882352941,6,True,77.52999999999999,84.2,456.3333333333333,2013,,,False
2013-03-31,-0.58018637,-0.1827925,0.38877964,-0.45855728,-0.15134558,0.17871758,259.69467,266.84766,273.34598,255.99588,261.37292,265.0304,0.25,1072629.1,3622368.5,0.05456181,0.3721436,0.5971037,162.83083,258.6233317057292,292.46313,J&K,nr,1768,100.0,33.8,Total,675.0,0.8272058823529411,3,6,True,Summer,33.8,338.5,193.02941176470588,74.29705882352941,6,True,115.31333333333332,94.76666666666664,249.66666666666663,2013,,,False
2013-03-31,-1.0949802,0.28150395,2.3274527,-0.50630397,1.0792938,1.7853674,295.91132,300.98532,307.67606,292.78152,295.13614,296.58545,0.25,858074.5,2919254.0,0.023957398,0.20163643,0.50496316,298.76086,303.3277994791667,310.01276,Tripura,ner,197,20.0,3.5,Total,28.0,0.8,3,6,True,Summer,3.5,11.666666666666666,193.02941176470588,74.29705882352941,6,True,57.72,86.89999999999999,33.333333333333336,2013,,,False
2013-03-31,-1.3224316,0.6497093,2.2325394,-1.57473,-0.8633933,0.2109184,295.89145,303.37598,310.31927,282.94815,284.4421,285.60028,0.25,1061160.5,3437030.2,0.012600839,0.04823083,0.09287743,296.80707,307.3125406901042,317.99026,Maharashtra,wr,16196,712.0,337.8,Total,820.0,0.9297052154195012,3,6,True,Summer,337.8,431.5,193.02941176470588,74.29705882352941,6,True,106.38333333333334,337.8,294.0,2013,,,False
2013-03-31,-0.15749782,0.036269564,0.22463836,-0.5301323,0.5163155,1.5775471,271.04758,274.86523,278.44952,269.73917,272.2972,274.61935,0.25,723156.5,2644207.0,0.46061322,0.63022774,0.8266842,279.4659,286.5862630208333,297.02682,Sikkim,er,56,0.0,1.1,Total,306.0,0.9107142857142856,3,6,True,Summer,1.1,112.0,193.02941176470588,74.29705882352941,6,True,41.29666666666667,32.3,148.33333333333334,2013,,,False
2013-03-31,-1.0806777,0.6886658,1.8832428,-1.4776376,-1.0150582,-0.10497293,290.42386,297.5486,304.234,288.07004,289.14478,290.58246,0.25,977320.44,3290085.5,0.0,0.04427461,0.20059675,289.23465,301.54248046875,313.7604,Punjab,nr,4574,0.0,92.3,Total,675.0,0.8272058823529411,3,6,True,Summer,92.3,407.0,193.02941176470588,74.29705882352941,6,True,79.37333333333335,70.63333333333333,496.3333333333333,2013,,,False
2013-03-31,-0.5605749,0.9140582,3.7163153,0.61388606,1.2668654,1.9994079,291.74365,296.73557,302.82144,287.2703,289.42877,291.10785,0.25,898531.75,2829990.8,0.070346706,0.20405509,0.3522616,294.07263,298.5647786458333,304.24933,Meghalaya,ner,244,1.0,4.2,Total,28.0,0.8,3,6,True,Summer,4.2,14.0,193.02941176470588,74.29705882352941,6,True,36.71333333333334,2.0333333333333337,11.666666666666666,2013,,,False
2013-03-31,0.014046115,0.40034315,1.3063617,-0.0914092,0.58855456,1.1848106,297.38928,303.35013,309.9804,287.38004,290.4385,292.5761,0.25,1010940.0,3341073.2,0.042979974,0.101713605,0.18077704,299.137,306.97324625651044,316.32034,Odisha,er,3497,0.0,69.4,Total,306.0,0.9107142857142856,3,6,True,Summer,69.4,168.0,193.02941176470588,74.29705882352941,6,True,42.52,69.4,112.0,2013,,,False
2013-03-31,-1.7829376,-0.8466766,0.7585704,-1.0952871,-0.5466862,-0.16359343,292.54575,296.87363,303.0039,290.05515,291.23605,292.55276,0.25,849565.44,2940711.2,0.23996615,0.34553948,0.57820535,296.6477,301.43310546875,308.38638,Assam,ner,996,120.0,16.0,Total,28.0,0.8,3,6,True,Summer,16.0,17.5,193.02941176470588,74.29705882352941,6,True,34.77,16.0,11.666666666666666,2013,,,False
2013-03-31,0.5840137,1.2728671,3.0141082,-1.8583571,-1.0434763,0.0071226205,294.05984,300.83707,307.6102,284.5891,286.40356,287.5536,0.25,1076202.0,3536316.8,8.5187734e-05,0.21219842,0.6980758,294.9982,305.8285522460937,316.47623,Jharkhand,er,1010,0.0,19.6,Total,306.0,0.9107142857142856,3,6,True,Summer,19.6,168.0,193.02941176470588,74.29705882352941,6,True,51.236666666666665,19.6,112.0,2013,,,False
2013-03-31,-1.183307,1.4011766,4.1723785,-1.0418596,-0.16658783,0.5297535,294.76865,299.75546,305.50482,293.18158,294.74942,296.01703,0.25,1026704.8,3532619.2,0.0,0.11263486,0.63387,298.87802,305.4503987630208,312.53995,Goa,wr,448,0.0,7.2,Total,820.0,0.9297052154195012,3,6,True,Summer,7.2,431.5,193.02941176470588,74.29705882352941,6,True,104.26333333333334,7.2,294.0,2013,,,False
2013-03-31,-0.21628782,0.6363541,1.3777294,-0.89770824,0.17759757,1.1025802,297.04764,302.9764,309.79413,287.7974,290.27817,292.72186,0.25,995004.94,3354791.5,0.01078876,0.18894382,0.36269036,296.78043,304.9686279296875,314.02875,Karnataka,sr,7191,800.0,158.0,Total,697.0,0.8913043478260869,3,6,True,Summer,158.0,384.5,193.02941176470588,74.29705882352941,6,True,89.41000000000001,158.0,260.6666666666667,2013,,,False
2013-03-31,-0.6641929,0.5942856,2.1969807,-0.51605445,0.19825189,0.985332,293.42737,300.72952,307.16122,278.85654,283.25967,285.58145,0.25,1060783.6,3449512.0,0.00046682946,0.06992673,0.33403933,290.45868,303.5758056640625,316.17603,Rajasthan,nr,7209,0.0,155.0,Total,675.0,0.8272058823529411,3,6,True,Summer,155.0,407.0,193.02941176470588,74.29705882352941,6,True,97.86666666666666,155.0,272.0,2013,,,False
2013-03-31,-0.5433098,-0.4100059,-0.167434,-0.6937565,-0.15927343,0.5782008,280.96786,283.5373,287.2931,279.37448,281.36255,283.622,0.25,535825.3,1755121.9,0.7258065,0.7964267,0.86467147,285.6079,291.5900472005208,298.95358,Arunachal Pradesh,ner,85,5.0,1.4,Total,28.0,0.8,3,6,True,Summer,1.4,11.666666666666666,193.02941176470588,74.29705882352941,6,True,38.193333333333335,2.333333333333333,14.0,2013,,,False
2013-03-31,-0.906512,1.0338043,3.3110504,-2.0706806,-1.6189417,-0.98481274,289.55615,296.47275,303.1727,286.9618,288.8421,290.366,0.25,977287.7,3263136.0,0.0,0.0357072,0.19289517,286.87814,298.5594075520833,309.6751,Chandigarh,nr,167,0.0,3.1,Total,675.0,0.8272058823529411,3,6,True,Summer,3.1,407.0,193.02941176470588,74.29705882352941,6,True,94.93333333333334,3.1,272.0,2013,,,False
2013-03-31,0.0381372,1.1796051,2.2485023,-1.6252106,-1.012755,-0.31361052,290.57703,297.6467,304.24368,288.08673,289.11972,290.49335,0.25,1020480.44,3347811.8,0.0,0.023047483,0.089340314,289.54236,302.4613647460937,314.53857,Haryana,nr,4651,0.0,91.6,Total,675.0,0.8272058823529411,3,6,True,Summer,91.6,272.0,193.02941176470588,74.29705882352941,6,True,36.16333333333333,63.03333333333333,277.6666666666667,2013,,,False
2013-04-01,-0.79830676,1.591153,3.6343532,-0.5804014,0.07106043,0.8324974,294.77438,299.52875,305.19397,293.33246,294.73035,296.28955,0.25,1019273.0,3546259.5,0.0,0.18355294,0.7077015,300.91357,305.9991455078125,313.08673,Goa,wr,385,3.0,7.5,Total,841.0,0.9292817679558012,4,0,False,Summer,7.32,353.2,,,0,False,110.37999999999998,67.03333333333335,388.0,2013,,,False
2013-04-01,-1.5318755,-0.46047843,0.7376984,1.3264087,1.9276632,2.3190808,299.01822,303.6414,309.668,292.8168,294.81055,296.52533,0.25,992974.7,3384486.2,0.059886657,0.21750526,0.43827257,298.0834,305.49660237630206,315.38123,Andhra Pradesh,sr,10945,2900.0,248.5,Total,706.0,0.8737623762376238,4,0,False,Summer,251.62,301.4,,,0,False,70.95666666666666,95.03333333333336,247.66666666666663,2013,,,False
